setting,direction,model,service,n_files,yaml_pass_rate,yaml_score_avg,external_score_avg,actionlint_pass_rate,travis_lint_pass_rate,composite_from_avgs,min,q1,q2,median,max,mean
CIMig,travis_to_gha,CIMig,gha,251,0.0558,0.0558,0.0,0.0,,0.0279,0.0,0.0,0.0,0.0,0.5,0.0279
CIMig,gha_to_travis,CIMig,travis,251,0.0598,0.0598,0.0598,,0.0598,0.0598,0.0,0.0,0.0,0.0,1.0,0.0598
Zero-Shot,travis_to_gha,gemma3_12b,gha,153,0.9869,0.9869,0.5882,0.5882,,0.7875,0.0,0.5,1.0,1.0,1.0,0.7876
Zero-Shot,travis_to_gha,llama3_1_8b,gha,153,0.281,0.281,0.1438,0.1438,,0.2124,0.0,0.0,0.0,0.0,1.0,0.2124
Zero-Shot,travis_to_gha,gpt-4o,gha,153,0.9935,0.9935,0.8824,0.8824,,0.938,0.0,1.0,1.0,1.0,1.0,0.9379
Zero-Shot,travis_to_gha,mistral_7b,gha,153,0.5294,0.5294,0.1373,0.1373,,0.3333,0.0,0.0,0.5,0.5,1.0,0.3333
Zero-Shot,gha_to_travis,gemma3_12b,travis,153,0.7778,0.7778,0.7778,,0.7778,0.7778,0.0,1.0,1.0,1.0,1.0,0.7778
Zero-Shot,gha_to_travis,llama3_1_8b,travis,153,0.2418,0.2418,0.2418,,0.2418,0.2418,0.0,0.0,0.0,0.0,1.0,0.2418
Zero-Shot,gha_to_travis,gpt-4o,travis,153,0.9477,0.9477,0.9477,,0.9477,0.9477,0.0,1.0,1.0,1.0,1.0,0.9477
Zero-Shot,gha_to_travis,mistral_7b,travis,153,0.6013,0.6013,0.6013,,0.6013,0.6013,0.0,0.0,1.0,1.0,1.0,0.6013
Fine-Tuned,travis_to_gha,gemma3_12b,gha,150,1.0,1.0,0.8933,0.8933,,0.9466,0.5,1.0,1.0,1.0,1.0,0.9467
Fine-Tuned,gha_to_travis,gemma3_12b,travis,150,0.9733,0.9733,0.9733,,0.9733,0.9733,0.0,1.0,1.0,1.0,1.0,0.9733
Few-Shot,travis_to_gha,gemma3_12b,gha,153,0.915,0.915,0.5817,0.5817,,0.7484,0.0,0.5,1.0,1.0,1.0,0.7484
Few-Shot,travis_to_gha,llama3_1_8b,gha,153,0.0196,0.0196,0.0131,0.0131,,0.0163,0.0,0.0,0.0,0.0,1.0,0.0163
Few-Shot,travis_to_gha,gpt-4o,gha,153,0.9935,0.9935,0.9085,0.9085,,0.951,0.0,1.0,1.0,1.0,1.0,0.951
Few-Shot,travis_to_gha,mistral_7b,gha,153,0.8627,0.8627,0.4248,0.4248,,0.6438,0.0,0.5,0.5,0.5,1.0,0.6438
Few-Shot,gha_to_travis,gemma3_12b,travis,153,0.7647,0.7647,0.7647,,0.7647,0.7647,0.0,1.0,1.0,1.0,1.0,0.7647
Few-Shot,gha_to_travis,llama3_1_8b,travis,153,0.0065,0.0065,0.0065,,0.0065,0.0065,0.0,0.0,0.0,0.0,1.0,0.0065
Few-Shot,gha_to_travis,gpt-4o,travis,153,0.9608,0.9608,0.9608,,0.9608,0.9608,0.0,1.0,1.0,1.0,1.0,0.9608
Few-Shot,gha_to_travis,mistral_7b,travis,153,0.6993,0.6993,0.6993,,0.6993,0.6993,0.0,0.0,1.0,1.0,1.0,0.6993
