setting,direction,model,n,min,q1,q2,median,max,mean,yaml_score_avg,external_score_avg,composite_from_avgs
CIMig,travis_to_gha,CIMig,251,0.0,0.0,0.0,0.0,0.5,0.0279,0.0558,0.0,0.0279
CIMig,gha_to_travis,CIMig,251,0.0,0.0,0.0,0.0,1.0,0.0598,0.0598,0.0598,0.0598
Zero-Shot,travis_to_gha,gemma3_12b,153,0.0,0.5,1.0,1.0,1.0,0.7876,0.9869,0.5882,0.7875
Zero-Shot,travis_to_gha,llama3_1_8b,153,0.0,0.0,0.0,0.0,1.0,0.2124,0.281,0.1438,0.2124
Zero-Shot,travis_to_gha,gpt-4o,153,0.0,1.0,1.0,1.0,1.0,0.9379,0.9935,0.8824,0.938
Zero-Shot,travis_to_gha,mistral_7b,153,0.0,0.0,0.5,0.5,1.0,0.3333,0.5294,0.1373,0.3333
Zero-Shot,gha_to_travis,gemma3_12b,153,0.0,1.0,1.0,1.0,1.0,0.7778,0.7778,0.7778,0.7778
Zero-Shot,gha_to_travis,llama3_1_8b,153,0.0,0.0,0.0,0.0,1.0,0.2418,0.2418,0.2418,0.2418
Zero-Shot,gha_to_travis,gpt-4o,153,0.0,1.0,1.0,1.0,1.0,0.9477,0.9477,0.9477,0.9477
Zero-Shot,gha_to_travis,mistral_7b,153,0.0,0.0,1.0,1.0,1.0,0.6013,0.6013,0.6013,0.6013
Fine-Tuned,travis_to_gha,gemma3_12b,150,0.5,1.0,1.0,1.0,1.0,0.9467,1.0,0.8933,0.9466
Fine-Tuned,gha_to_travis,gemma3_12b,150,0.0,1.0,1.0,1.0,1.0,0.9733,0.9733,0.9733,0.9733
Few-Shot,travis_to_gha,gemma3_12b,153,0.0,0.5,1.0,1.0,1.0,0.7484,0.915,0.5817,0.7484
Few-Shot,travis_to_gha,llama3_1_8b,153,0.0,0.0,0.0,0.0,1.0,0.0163,0.0196,0.0131,0.0163
Few-Shot,travis_to_gha,gpt-4o,153,0.0,1.0,1.0,1.0,1.0,0.951,0.9935,0.9085,0.951
Few-Shot,travis_to_gha,mistral_7b,153,0.0,0.5,0.5,0.5,1.0,0.6438,0.8627,0.4248,0.6438
Few-Shot,gha_to_travis,gemma3_12b,153,0.0,1.0,1.0,1.0,1.0,0.7647,0.7647,0.7647,0.7647
Few-Shot,gha_to_travis,llama3_1_8b,153,0.0,0.0,0.0,0.0,1.0,0.0065,0.0065,0.0065,0.0065
Few-Shot,gha_to_travis,gpt-4o,153,0.0,1.0,1.0,1.0,1.0,0.9608,0.9608,0.9608,0.9608
Few-Shot,gha_to_travis,mistral_7b,153,0.0,0.0,1.0,1.0,1.0,0.6993,0.6993,0.6993,0.6993
